prob_num,env_num,obj_num,is_it_superSet,name,cardinality,cardinality unit,attribute_name_list,attribute_value,total attribute_name,total attribute,
29,0,1,n,dougla fir,x1,-,dollar,300,-,-,
29,0,2,n,ponderosa pine tree,x2,-,dollar,250,-,-,
31,0,0,y,truck and trailer,-,-,-,-,pound,"7,000",
31,0,1,n,truck,-,-,pound,x1,-,-,
31,0,2,n,trailer,-,-,pound,0.5 *x1 -200,-,-,
32,0,0,y,game,162,game,-,-,-,-,
32,0,1,n,win,2*x1 +24,-,-,-,-,-,
32,0,2,n,lose,x1,-,-,-,-,-,
34,0,0,y,pipe,-,-,-,-,foot,68,
34,0,1,n,-,-,-,foot,x1,-,-,
34,0,2,n,-,-,-,foot,x1 - 12,-,-,
35,0,0,y,-,10,liter,% saline solution,18,-,-,
35,0,1,n,-,x1,liter,% saline solution,25,-,-,
35,0,2,n,-,x2,liter,% saline solution,5,-,-,
36,0,0,y,people,22,ticket,-,-,dollar,50,
36,0,1,n,child,x1,adult ticket,dollar,8,-,-,
36,0,2,n,adult,x2,child ticket,dollar,1,-,-,
37,0,0,y,student,485,-,-,-,-,-,
37,0,1,n,girl,x1 + 69,-,-,-,-,-,
37,0,2,n,boy,x1,-,-,-,-,-,
38,0,0,y,-,"22,000",dollar,-,-,dollar,"3,360",
38,0,1,n,-,x1,-,%,18,-,-,
38,0,2,n,-,x2,-,%,14,-,-,
39,0,0,y,-,-,-,-,-,dollar,4.91,
39,0,1,n,doughnut,3,-,dollar,x1,-,-,
39,0,2,n,large coffee,4,-,dollar,x2,-,-,
39,1,0,y,-,-,-,-,-,dollar,7.59,
39,1,1,n,doughnut,5,-,dollar,x1,-,-,
39,1,2,n,large coffee,6,-,dollar,x2,-,-,
40,0,0,y,-,1,probability,-,-,-,-,
40,0,1,n,play,9*x1,probability,-,-,-,-,
40,0,2,n,do not play,x1,probability,-,-,-,-,
41,0,0,y,-,8800,dollar,-,-,dollar,1326,
41,0,1,n,-,x1,-,%,16,-,-,
41,0,2,n,-,x2,-,%,14,-,-,
42,0,0,y,1-day renta,-,-,-,-,dollar,46.12,
42,0,1,n,-,1,day,dollar,29,-,-,
42,0,2,n,-,x1,mile,dollar,0.08,-,-,
43,0,0,y,-,55,gallon,percent antifreeze,20,-,-,
43,0,1,n,-,x1,gallon,percent antifreeze,10,-,-,
43,0,2,n,-,x2,gallon,percent antifreeze,100,-,-,
44,0,0,y,-,30,ounce,% acid solution,40,-,-,
44,0,1,n,-,x1,-,% acid solution,25,-,-,
44,0,2,n,-,x2,-,% acid solution,50,-,-,
45,0,0,y,copy,400,copy,-,-,dollar,22.5,
45,0,1,n,color copy,x1,-,cent,10,-,-,
45,0,2,n,white copy,x2,-,cent,5,-,-,
46,0,0,n,this year,"16,000",dollar,-,-,-,-,
46,0,1,n,last year,x1,-,-,-,-,-,
47,0,0,y,game,57,game,-,-,-,-,
47,0,1,n,win,x1,game,-,-,-,-,
47,0,2,n,lose,x1 + 21,game,-,-,-,-,
48,0,0,y,ticket,60,ticket,-,-,-,6,
48,0,1,n,advance ticket,x1,-,-,20,-,-,
48,0,2,n,same-day ticket,x2,-,-,30,-,-,
50,0,0,y,adult and child,127,-,-,-,dollar,839,
50,0,1,n,adult,x1,-,dollar,7,-,-,
50,0,2,n,child,x2,-,dollar,5,-,-,
51,0,0,y,coin,36,coin,-,-,dollar,3.1,
51,0,1,n,nickel,x1,-,-,--,-,-,
51,0,2,n,dime,x2,-,-,-,-,-,
53,0,0,y,ticket,900,ticket,-,-,dollar,"5,100",
53,0,1,n,adult ticket,x1,-,dollar,7,-,-,
53,0,2,n,child ticket,x2,-,dollar,4,-,-,
54,0,0,y,day,25,day,-,-,dollar,450,
54,0,1,n,work,x1,day,dollar,20,-,-,
54,0,2,n,idle,x2,day,dollar,5,-,-,
55,0,0,y,-,80,square-centimeter,% pure acid,60,-,-,
55,0,1,n,-,x1,-,% pure acid,45,-,-,
55,0,2,n,-,x2,-,% pure acid,80,-,-,
56,0,0,y,,,,,,,,
56,0,1,n,travel,,,,,,,
56,0,2,n,return,,,,,,,
57,0,0,n,cranberry juice,12,ounce,cent,x1,cent,84,
58,0,0,y,-,"196,554",vote,-,-,-,-,
58,0,1,n,jerry weller," 20,196 + x1",vote,-,-,-,-,
58,0,2,n,john pavich,x1,vote,-,-,-,-,
59,0,0,y,-,"33,000",dollar,-,-,dollar,970,
59,0,1,n,-,x1,-,%,4,-,-,
59,0,2,n,-,x2,-,%,2.25,-,-,
60,0,0,y,democrat and republican,434,-,-,-,-,-,
60,0,1,n,democrat,x1,-,-,-,-,-,
60,0,2,n,republican,x1 + 30,-,-,-,-,-,
61,0,0,y,mechanic,-,-,-,-,dollar,450,
61,0,1,n,-,x1,hour,dollar,45,-,-,
61,0,2,n,part,1,-,dollar,225,-,-,
62,0,0,y,people,610,people,-,-,dollar,960,
62,0,1,n,adult,x1,-,dollar,2,-,-,
62,0,2,n,child,x2,-,dollar,1,-,-,
63,0,0,y,-,-,-,-,-,kilometer,252,
63,0,1,n,one speed,2,hour,-,-,-,-,
63,0,2,n,another speed,3,hour,-,-,-,-,
63,1,0,y,-,-,-,-,-,kilometer,244,
63,1,1,n,one speed,4,hour,-,-,-,-,
63,1,2,n,another speed,1,hour,-,-,-,-,
64,0,0,y,pipe,177,inch,-,-,-,-,
64,0,1,n,-,x1,-,-,-,-,-,
64,0,2,n,-,2*x1,-,-,-,-,-,
66,0,0,y,student,466,-,-,-,-,-,
66,0,1,n,girl,212 + x1,-,-,-,-,-,
66,0,2,n,boy,x2,-,-,-,-,-,
67,0,0,y,Shoe,66,shoe,-,-,-,-,
67,0,1,n,black shoe,2*x1,-,-,-,-,-,
67,0,2,n,brown shoe,x1,-,-,-,-,-,
72,0,0,y,work,50,hour,-,-,dollar,32.4,
72,0,1,n,ordinary time,x1,hour,cent,60,-,-,
72,0,2,n,overtime,x2,hour,cent,90,-,-,
73,0,0,y,corn and wheat,500,acre,-,-,dollar,"18,600",
73,0,1,n,wheat,x1,acre,dollar,30,-,-,
73,0,2,n,corn,x2,acre,dollar,42,-,-,
74,0,0,y,,59,ticket,-,-,dollar,222.5,
74,0,1,n,adult,x1,-,dollar,24,-,-,
74,0,2,n,student,x2,student ticket,dollar,2.5,-,-,
76,0,0,y,-,-,-,-,-,dollar,10,
76,0,1,n,hamburger,3,-,dollar,x1,-,-,
76,0,2,n,hot dog,4,-,dollar,x2,,,
76,1,0,y,-,-,-,-,-,dollar,7,
76,1,1,n,hamburger,2,-,dollar,x1,-,-,
76,1,2,n,hot dog,3,-,dollar,x2,-,-,
77,0,0,y,ticket,80,seat,-,-,dollar,519,
77,0,1,n,adult ticket,x1,-,dollar,12,-,-,
77,0,2,n,child ticket,x2,-,dollar,5,-,-,
78,0,0,y,automobile,5,hour,-,-,kilometer,600,
78,0,1,n,west,5,hour,kilometer,x1,-,-,
78,0,2,n,east,5,hour,kilometer,x1 + 10,-,-,
79,0,0,y,washer-dryer,-,-,-,-,dollar,"1,200",
79,0,1,n,washer,-,-,dollar,220 + x1,-,-,
79,0,2,n,dryer,-,-,dollar,x1,-,-,
80,0,0,y,snooker lumber,-,-,-,-,dollar,18360,
80,0,1,n,plywood,3*x1,unit,dollar,50,-,-,
80,0,2,n,lumber,x1,unit,dollar,30,-,-,
81,0,0,y,-,"20,000",seat,-,-,dollar,"955,000",
81,0,1,n,main seat ticket,x1,main seat,dollar,55,-,-,
81,0,2,n,back seat ticket,x2,back seat,dollar,45,-,-,
82,0,0,y,coin,50,coin,-,-,dollar,3.5,
82,0,1,n,nickel,x1,-,-,-,-,-,
82,0,2,n,dime,x2,-,-,-,-,-,
84,0,0,y,-,-,-,-,-,kilometer,390,
84,0,1,n,freight train,3,hour,kilometer,x1-30,-,-,
84,0,2,n,express train,3,hour,kilometer,x1,-,-,
85,0,0,y,-,"318,338",dollar,-,-,dollar,"14,762",
85,0,1,n,first loan,x1,-,%,2.4,-,-,
85,0,2,n,second loan,x2,-,%,4.7,-,-,
87,0,0,y,sold-out performance,x1,performance,dollar,"16,000",-,-,
87,0,1,n,overhead,1,,dollar,"81,000",-,-,
87,0,2,n,production cost,x1,performance,dollar,"7,000",-,-,
88,0,0,y,ticket,7400,ticket,-,-,dollar,"191,000",
88,0,1,n,20-dollar ticket,x1,ticket,dollar,20,-,-,
88,0,2,n,30-dollar ticket,x2,ticket,dollar,30,-,-,
89,0,0,y,account,"9,000",dollar,-,-,dollar,678.87,
89,0,1,n,-,x1,-,% annual interest,6.5,-,-,
89,0,2,n,-,x2,-,% annual interest,8,-,-,
91,0,0,y,ticket,225,ticket,-,-,dollar,1875,
91,0,1,n,adult,x1,-,dollar,9,-,-,
91,0,2,n,child,x2,-,dollar,6,-,-,
92,0,0,y,-,-,-,-,-,dollar,1.77,
92,0,1,n,apple,6,-,dollar,x1,-,-,
92,0,2,n,orange,3,-,dollar,x2,-,-,
92,1,0,y,-,-,-,-,-,dollar,1.27,
92,1,1,n,apple,2,-,dollar,x1,-,-,
92,1,2,n,orange,5,-,dollar,x2,-,-,
93,0,0,y,-,185,year,-,-,-,-,
93,0,1,n,bride,x1 + 19,year,-,-,-,-,
93,0,2,n,groom,x1,year,-,-,-,-,
94,0,0,y,-,100,carton,-,-,dollar,360,
94,0,1,n,pencil,x1,carton,dollar,6,-,-,
94,0,2,n,eraser,x2,carton,dollar,3,-,-,
95,0,0,y,-,-,-,-,-,dollar,12.02,
95,0,1,n,monthly fee,1,month,dollar,5,-,-,
95,0,2,n,-,x1,minute,cent,25,-,-,
96,0,0,y,dress,200,dress,-,-,-,-,
96,0,1,n,red dress,x1,-,-,-,-,-,
96,0,2,n,blue dress,x1 + 34,-,-,-,-,-,
97,0,0,y,part-time job,25,hour,-,-,dollar,300,
97,0,1,n,college library,x1,hour,dollar,8,-,-,
97,0,2,n,construction work,x2,hour,dollar,15,-,-,
98,0,0,y,-,"3,000",dollar,,,dollar,256,
98,0,1,n,-,x1,-,percent interest,10,-,-,
98,0,2,n,-,x2,-,percent interest,8,-,-,
99,0,0,y,-,20,pound,dollar,8.4,-,-,
99,0,1,n,kenyan french roast,x1,pound,dollar,9,-,-,
99,0,2,n,sumatran coffee,x2,-,dollar,8,-,-,
102,0,0,y,plane,1,hour,gallon,9.5,-,-,
102,0,1,n,tank,x1,-,gallon,6.3333,-,-,
103,0,0,y,people,586,-,-,-,dollar,9423.7,
103,0,1,n,resident,x1,-,dollar,12.95,-,-,
103,0,2,n,non-resident,x2,-,dollar,17.95,-,-,
107,0,0,y,-,24,liter,% acid,4,-,-,
107,0,1,n,-,x1,liter,% acid,2,-,-,
107,0,2,n,-,x2,liter,% acid,5,-,-,
109,0,0,y,-,8000,dollar,-,-,dollar,575,
109,0,1,n,-,x1,-,%,8.5,-,-,
109,0,2,n,-,x2,-,%,6.4,-,-,
110,0,0,y,combined item,17,-,-,-,dollar,130,
110,0,1,n,purse,x1,-,dollar,7,-,-,
110,0,2,n,scarf,x2,-,dollar,8,-,-,
111,0,0,y,game,82,game,-,-,-,-,
111,0,1,n,win,3*x1-2,-,-,-,-,-,
111,0,2,n,lose,x1,-,-,-,-,-,
112,0,0,y,-,1000,quart,%,4,-,-,
112,0,1,n,-,x1,-,%,3,-,-,
112,0,2,n,-,x2,-,%,23,-,-,
113,0,0,y,book,9,book,-,-,dollar,56,
113,0,1,n,6-dollar book,x1,-,dollar,6,-,-,
113,0,2,n,6.50-dollar book,x2,-,dollar,6.5,-,-,
114,0,0,y,-,-,-,-,-,dollar,7.9,
114,0,1,n,rose,4,-,dollar,x1,-,-,
114,0,2,n,daisy,5,-,dollar,x2,-,-,
114,1,0,y,-,-,-,-,-,dollar,5.7,
114,1,1,n,rose,2,-,dollar,x1,-,-,
114,1,2,n,daisy,6,-,dollar,x2,-,-,
115,0,1,n,ticket,x1,ride,dollar,0.75,-,-,
115,0,2,n,armband,1,-,dollar,15,-,-,
116,0,0,y,first shipment,-,-,-,-,dollar,800,
116,0,1,n,identical sweater,10,-,dollar,x1,-,-,
116,0,2,n,identical jacket,20,-,dollar,x2,-,-,
116,1,0,y,first shipment,-,-,-,-,dollar,550,
116,1,1,n,identical sweater,5,-,dollar,x1,-,-,
116,1,2,n,identical jacket,15,-,dollar,x2,-,-,
117,0,0,y,-,"12,000",dollar,-,-,dollar,970,
117,0,1,n,-,x1,-,%,7,-,-,
117,0,2,n,-,x2,-,%,9,-,-,
118,0,0,y,card,125,card,-,-,-,-,
118,0,1,n,baseball card,3*x1+5,-,-,-,-,-,
118,0,2,n,football card,x1,-,-,-,-,-,
119,0,0,y,rope,60,meter,-,-,-,-,
119,0,1,n,long piece,2*x1,-,-,-,-,-,
119,0,2,n,short piece,x1,-,-,-,-,-,
120,0,0,y,people,764,-,-,-,fork,2992,
120,0,1,n,adult,x1,-,fork,5,-,-,
120,0,2,n,child,x2,-,fork,2,-,-,
121,0,0,y,-,-,-,-,-,dollar,791.5,
121,0,1,n,bath towel,38,-,dollar,x1,-,-,
121,0,2,n,washcloth,61,-,dollar,x2,-,-,
121,1,0,y,-,-,-,-,-,dollar,923,
121,1,1,n,bath towel,54,-,dollar,x1,-,-,
121,1,2,n,washcloth,50,-,dollar,x2,-,-,
122,0,0,y,-,-,-,-,-,dollar,6600,
122,0,1,n,similar table,2,-,dollar,x1 + 500,-,-,
122,0,2,n,similar chair,6,-,dollar,x1,-,-,
123,0,0,y,first plan,-,-,-,-,-,-,
123,0,1,n,initial fee,1,-,dollar,65,-,-,
123,0,2,n,additional cost,x1,mile,dollar,0.4,-,-,
123,1,0,y,second plan,-,-,-,-,-,-,
123,1,1,n,initial fee,1,-,dollar,0,-,-,
123,1,2,n,additional cost,x1,mile,dollar,0.6,-,-,
124,0,0,y,-,40,pound,dollar,5.5,-,-,
124,0,1,n,colombian coffee bea,x1,pound,dollar,4.25,-,-,
124,0,2,n,peruvian coffee bean,x2,pound,dollar,4.6,-,-,
125,0,0,n,wine with a cork,1,bottle,-,-,dollar,2.1,
125,0,1,n,wine without a cork,1,bottle,-,-,dollar,2,
126,,,minus in the equation,,,,,,,,
126,,,,,,,,,,,
126,,,,,,,,,,,
127,0,0,y,ticket,29,ticket,-,-,dollar,225,
127,0,1,n,7-dollar ticket,x1,-,dollar,7,-,-,
127,0,2,n,9-dollar ticket,x2,-,dollar,9,-,-,
128,0,0,y,-,6,hour,-,-,gallon,1325,
128,0,1,n,-,x1,hour,gallon,180,-,-,
128,0,2,n,-,x2,hour,gallon,250,-,-,
130,0,0,y,bill,15,bill,-,-,dollar,139,
130,0,1,n,20-dollar bill,,bill,dollar,20,-,-,
130,0,2,n,50-dollar bill,,bill,dollar,50,-,-,
131,0,0,y,table,36,table,-,-,leg,124,
131,0,1,n,4 leg table,x1,table,leg,4,-,-,
131,0,2,n,3 leg table,x2,table,leg,3,-,-,
133,,,Shoud unit be gallon or gallon per minute,,,,,,,,
133,,,,,,,,,,,
133,,,,,,,,,,,
134,0,0,y,-,50,cubic-centimeter,percent solution,12,-,-,
134,0,1,n,-,x1,-,percent acid solution,6,-,-,
134,0,2,n,-,x2,-,percent acid solution,14,-,-,
136,0,0,y,-,-,-,-,-,dollar,65,tricky
136,0,1,n,skate,x1,-,dollar,2.5,-,-,
137,0,0,y,lollipop,120,lollipop,dollar,x1,dollar,90,
138,0,0,y,with a tail wind,4,hour,-,-,mile,2000,
138,0,1,n,against the same wind,5,hour,-,-,mile,2000,
138,0,2,n,wind,x1,hour,mile,x2,-,-,
139,0,0,y,with a tail wind,3,hour,-,-,mile,900,
139,0,1,n,against the same wind,4,hour,-,-,mile,900,
139,0,2,n,wind,x1,hour,mile,x2,-,-,
140,0,0,y,test,40,question,-,-,point,100,
140,0,1,n,2 poin question,x1,question,point,2,-,-,
140,0,2,n,4 point question,x2,question,point,4,-,-,
141,0,0,y,-,-,-,-,-,dollar,500,
141,0,1,n,-,-,-,dollar,190,-,-,
141,0,2,n,commission,4,%,dollar,x1,-,-,
142,0,0,y,-,"10,000",dollar,-,-,dollar,630,
142,0,1,n,-,x1,-,%,5,-,-,
142,0,2,n,-,x2,-,%,7,-,-,
143,0,0,y,-,-,mile,hour,-,mile,2100,
143,0,1,n,-,325,mile,hour,x1,-,-,
143,0,2,n,-,275,mile,hour,x1,-,-,
146,0,0,y,part,59,part,-,-,dollar,2380,
146,0,1,n,50-dollar part,x1,-,dollar,50,-,-,
146,0,2,n,20-dollar part,x2,-,dollar,20,-,-,
147,0,0,y,first agency,-,-,-,-,-,x2,
147,0,1,n,-,1,day,dollar,20.25,-,-,
147,0,2,n,-,x1,mile,dollar,0.14,-,-,
147,1,0,y,second agency,-,-,-,-,-,x2,
147,1,1,n,-,1,day,dollar,18.25,-,-,
147,1,2,n,-,x1,mile,dollar,0.22,-,-,
148,0,0,y,font,21,page,-,-,word,"48,000",
148,0,1,n,large font,x1,page,word,"1,800",-,-,
148,0,2,n,small font,x2,page,word,"2,400",-,-,
149,0,0,y,plum and peach,32,-,-,-,dollar,52,
149,0,1,n,plum,x1,-,dollar,2,-,-,
149,0,2,n,peach,x2,-,dollar,1,-,-,
150,0,0,y,job,-,hour,-,-,dollar,416,
150,0,1,n,office,2*x1,hour,dollar,10,-,-,
150,0,2,n,tractor,x1,hour,dollar,12,-,-,
152,0,0,y,student and professor,"40,000",-,-,-,-,-,
152,0,1,n,professor,15*x1,-,-,-,-,-,
152,0,2,n,student,x1,-,-,-,-,-,
153,0,0,y,ticket,750,people,-,-,dollar,1706.25,
153,0,1,n,before the rally,x1,-,dollar,2,-,-,
153,0,2,n,door,x2,-,dollar,2.75,-,-,
154,0,0,y,ticket,42,ticket,-,-,dollar,178,
154,0,1,n,adult ticket,x1,-,dollar,5,-,-,
154,0,2,n,child ticket,x2,-,dollar,3,-,-,
155,0,0,y,bin,30,bin,-,-,ton,510,
155,0,1,n,15 ton bin,x1,-,ton,15,-,-,
155,0,2,n,20 ton bin,x2,-,ton,20,-,-,
156,0,0,y,,,,,,kilometer,26,
156,0,1,,,,,,,,,
156,0,2,,,,,,,,,
156,0,3,,,,,,,,,
157,0,0,y,seat,-,-,-,-,dollar,"84,500",
157,0,1,n,balcony seat,500,seat,dollar,x1-15,-,-,
157,0,2,n,main-level seat,1800,seat,dollar,x1,-,-,
160,0,0,y,souvenir,1000,souvenir,-,-,dollar,220,
160,0,1,n,20 cent souvenier,x1,souvenir,cent,20,-,-,
160,0,2,n,25 cent souvenier,x2,souvenir,cent,25,-,-,
161,0,0,y,-,380,ticket,-,-,dollar,1972.5,
161,0,1,n,-,x1,-,dollar,4.5,-,-,
161,0,2,n,-,x2,-,dollar,6,-,-,
162,0,0,y,-,-,ticket,-,-,dollar,1026,
162,0,1,n,adult,2*x1,ticket,dollar,5.5,-,-,
162,0,2,n,child,x2,ticket,dollar,2.5,-,-,
163,0,0,y,3 muffin and a bottle of juice,,-,-,-,dollar,3.7,
163,0,1,n,muffin,3,-,dollar,x1,-,-,
163,0,2,n,juice,1,-,dollar,1.45,-,-,
164,0,0,y,-,35,people,-,-,dollar,3950,
164,0,1,n,heavy equipment operator,x1,-,dollar,140,-,-,
164,0,2,n,general laborer,x2,-,dollar,90,-,-,
166,0,0,y,,,,,,,,
167,0,0,y,cd,12,cd,-,-,dollar,82,
167,0,1,n,-,x1,cd,-,5,-,-,
167,0,2,n,-,x2,cd,-,7.5,-,-,
168,0,0,y,cup,500,cup,-,-,dollar,2090,
168,0,1,n,plastic cup,x1,-,dollar,3.25,-,-,
168,0,2,n,ceramic cup,x2,-,dollar,4.5,-,-,
169,0,0,y,stock,-,-,-,-,dollar,2106,
169,0,1,n,valuable stock,14,share,-,2*x1,-,-,
169,0,2,n,other stock,26,share,-,x1,-,-,
170,0,0,y,washer and a dryer,600,dollar,-,-,-,-,
170,0,1,n,washer,3*x1,dollar,-,-,-,-,
170,0,2,n,dryer,x1,dollar,-,-,-,-,
171,0,0,y,24.9 % copper,100,ounce,% copper,24.9,-,-,
171,0,1,n,20 % alloy,x1,ounce,% alloy,20,-,-,
171,0,2,n,27 % alloy,x2,ounce,% alloy,27,-,-,
172,0,0,y,ticket,525,ticket,-,-,dollar,2876,
172,0,1,n,student ticket,x1,ticket,dollar,4,-,-,
172,0,2,n,general admission ticket,x2,ticket,dollar,6,-,-,
173,0,0,y,-,-,-,-,-,dollar,840,
173,0,1,n,mp3 player,5,-,-,,-,-,
173,0,2,n,headphone set,8,-,-,,-,-,
173,1,0,y,-,-,-,-,-,dollar,480,
173,1,1,n,mp3 player,3,-,-,,-,-,
173,1,2,n,headphone set,4,-,-,,-,-,
175,0,0,y,-,"22,000",dollar,-,-,dollar,"1,710",
175,0,1,n,8 %,x1,-,%,8,-,-,
175,0,2,n,7 %,x2,-,%,7,-,-,
176,0,0,y,5 % hydrogen peroxide solution,300,milliliter,%,5,-,-,
176,0,1,n,7 % hydrogen peroxide solution,x1,-,%,7,-,-,
176,0,2,n,4 % hydrogen peroxide solution,x2,-,%,4,-,-,
177,0,0,y,book,-,book,-,-,dollar,490,
177,0,1,n,thursday,23,book,-,x1,-,-,
177,0,2,n,friday,35,book,-,x1-0.5,-,-,
178,0,0,y,boy and girl,36,-,-,-,-,-,
178,0,1,n,boy,2*x1 + 12,-,-,-,-,-,
178,0,2,n,girl,x1,-,-,-,-,-,
179,0,0,y,gift card,1,-,-,-,dollar,70,
179,0,1,n,-,1,-,dollar,35.68,-,-,
179,0,2,n,coffee,x1,pound,dollar,8.58,-,-,
180,0,0,y,-,-,-,-,-,dollar,127.92,
180,0,1,n,new compact disk,6,-,-,,-,-,
180,0,2,n,used compact disk,2,-,-,,-,-,
180,1,0,y,-,-,-,-,-,dollar,133.89,
180,1,1,n,new compact disk,3,-,-,,-,-,
180,1,2,n,used compact disk,8,-,-,,-,-,
181,0,0,y,-,-,-,-,-,dollar,2,
181,0,1,n,pencil,4,-,dollar,,-,-,
181,0,2,n,pen,5,-,dollar,,-,-,
181,1,0,y,-,-,-,-,-,dollar,1.58,
181,1,1,n,pencil,3,-,dollar,,-,-,
181,1,2,n,pen,4,-,dollar,,-,-,
182,0,0,y,people,96,-,-,-,-,-,
182,0,1,n,girl,5*x1,-,-,-,-,-,
182,0,2,n,boy,x1,-,-,-,-,-,
183,0,0,y,-,x1,book,dollar,20.25,-,-,
183,0,1,n,one-time fixed cost,-,-,dollar,"35,630",-,-,
183,0,2,n,variable cost,x1,book,dollar,11.5,-,-,
184,0,0,y,-,x1,t-shirt,dollar,20,,,
184,0,1,n,equipment,1,-,dollar,"1,500",,,
184,0,2,n,-,x1,t-shirt,dollar,3,,,
185,0,0,y,jane and jill,32,doll,-,-,-,-,
185,0,1,n,jane,x1+6,doll,-,-,-,-,
185,0,2,n,jill,x1+6,doll,-,-,-,-,
186,0,0,y,2.50 dollar per kilogram,20,dollar,2.5,,,,
186,0,1,n,4.00 dollar per kilogram,x1,dollar,4,,,,
186,0,2,n,2.00 dollar per kilogram,x2,dollar,2,,,,
187,0,0,y,animal,21,-,-,-,leg,56,
187,0,1,n,chicken,x1,-,-,-,-,-,
187,0,2,n,sheep,x2,-,-,-,-,-,
